======ListNet MQ2007 metrics average of [10] runs======

Try,    NDCG@1, NDCG@3, NDCG@5, NDCG@10,NDCG@20,NDCG@50,
STD,    0.0027, 0.0012, 0.0011, 0.0006, 0.0007, 0.0005

Try,    ERR@1,  ERR@3,  ERR@5,  ERR@10, ERR@20, ERR@50
1,      0.2175, 0.3112, 0.3377, 0.3572, 0.3649, 0.3674
2,      0.2178, 0.3120, 0.3384, 0.3577, 0.3656, 0.3681
3,      0.2164, 0.3105, 0.3373, 0.3566, 0.3643, 0.3669
4,      0.2207, 0.3130, 0.3397, 0.3590, 0.3667, 0.3692
5,      0.2171, 0.3109, 0.3381, 0.3570, 0.3648, 0.3674
6,      0.2208, 0.3130, 0.3395, 0.3590, 0.3667, 0.3692
7,      0.2192, 0.3121, 0.3384, 0.3580, 0.3657, 0.3682
8,      0.2186, 0.3120, 0.3389, 0.3579, 0.3658, 0.3683
9,      0.2193, 0.3138, 0.3400, 0.3591, 0.3669, 0.3694
10,     0.2207, 0.3134, 0.3401, 0.3591, 0.3669, 0.3694
AVG,    0.2188, 0.3122, 0.3388, 0.3581, 0.3658, 0.3684
STD,    0.0015, 0.0011, 0.0009, 0.0009, 0.0009, 0.0009
======Alpha[1.5] Divergence MQ2007 [10] runs======

Try,    NDCG@1, NDCG@3, NDCG@5, NDCG@10,NDCG@20,NDCG@50,
1,      0.4760, 0.4696, 0.4790, 0.5126, 0.5826, 0.6937
2,      0.4758, 0.4735, 0.4814, 0.5145, 0.5844, 0.6952
3,      0.4749, 0.4707, 0.4801, 0.5148, 0.5840, 0.6947
4,      0.4737, 0.4678, 0.4784, 0.5138, 0.5833, 0.6943
5,      0.4723, 0.4691, 0.4788, 0.5128, 0.5826, 0.6936
6,      0.4763, 0.4733, 0.4816, 0.5136, 0.5843, 0.6951
7,      0.4762, 0.4700, 0.4814, 0.5134, 0.5835, 0.6946
8,      0.4746, 0.4713, 0.4795, 0.5143, 0.5838, 0.6944
9,      0.4778, 0.4729, 0.4821, 0.5132, 0.5838, 0.6949
10,     0.4762, 0.4709, 0.4808, 0.5141, 0.5830, 0.6947
AVG,    0.4754, 0.4709, 0.4803, 0.5137, 0.5835, 0.6945
STD,    0.0015, 0.0018, 0.0013, 0.0007, 0.0006, 0.0005

Try,    ERR@1,  ERR@3,  ERR@5,  ERR@10, ERR@20, ERR@50
1,      0.2245, 0.3148, 0.3411, 0.3609, 0.3685, 0.3710
2,      0.2240, 0.3161, 0.3420, 0.3612, 0.3689, 0.3715
3,      0.2226, 0.3142, 0.3406, 0.3604, 0.3679, 0.3705
4,      0.2224, 0.3126, 0.3395, 0.3593, 0.3669, 0.3695
5,      0.2214, 0.3129, 0.3395, 0.3588, 0.3666, 0.3691
6,      0.2240, 0.3150, 0.3413, 0.3608, 0.3686, 0.3711
7,      0.2223, 0.3132, 0.3402, 0.3593, 0.3670, 0.3696
8,      0.2231, 0.3147, 0.3411, 0.3605, 0.3681, 0.3707
9,      0.2245, 0.3153, 0.3419, 0.3610, 0.3688, 0.3714
10,     0.2243, 0.3153, 0.3420, 0.3612, 0.3688, 0.3714
AVG,    0.2233, 0.3144, 0.3409, 0.3603, 0.3680, 0.3706
STD,    0.0010, 0.0011, 0.0009, 0.0008, 0.0008, 0.0008
======Alpha[2.0] Divergence MQ2007 [10] runs======

Try,    NDCG@1, NDCG@3, NDCG@5, NDCG@10,NDCG@20,NDCG@50,
1,      0.4742, 0.4679, 0.4781, 0.5114, 0.5813, 0.6930
2,      0.4718, 0.4676, 0.4772, 0.5116, 0.5811, 0.6925
3,      0.4705, 0.4692, 0.4774, 0.5112, 0.5813, 0.6928
4,      0.4684, 0.4689, 0.4771, 0.5115, 0.5811, 0.6928
5,      0.4689, 0.4697, 0.4786, 0.5126, 0.5815, 0.6931
6,      0.4754, 0.4695, 0.4791, 0.5134, 0.5823, 0.6940
7,      0.4721, 0.4712, 0.4793, 0.5128, 0.5826, 0.6937
8,      0.4698, 0.4684, 0.4773, 0.5113, 0.5810, 0.6930
9,      0.4698, 0.4697, 0.4787, 0.5114, 0.5826, 0.6931
10,     0.4700, 0.4714, 0.4777, 0.5126, 0.5812, 0.6930
AVG,    0.4711, 0.4693, 0.4781, 0.5120, 0.5816, 0.6931
STD,    0.0022, 0.0012, 0.0008, 0.0007, 0.0006, 0.0004

Try,    ERR@1,  ERR@3,  ERR@5,  ERR@10, ERR@20, ERR@50
1,      0.2218, 0.3137, 0.3397, 0.3593, 0.3670, 0.3696
2,      0.2197, 0.3117, 0.3383, 0.3578, 0.3654, 0.3681
3,      0.2201, 0.3125, 0.3386, 0.3584, 0.3661, 0.3687
4,      0.2178, 0.3120, 0.3380, 0.3576, 0.3651, 0.3678
5,      0.2196, 0.3134, 0.3392, 0.3588, 0.3664, 0.3690
6,      0.2234, 0.3141, 0.3408, 0.3605, 0.3680, 0.3706
7,      0.2216, 0.3146, 0.3402, 0.3599, 0.3675, 0.3701
8,      0.2192, 0.3125, 0.3386, 0.3580, 0.3658, 0.3684
9,      0.2202, 0.3124, 0.3387, 0.3582, 0.3660, 0.3686
10,     0.2197, 0.3138, 0.3390, 0.3589, 0.3664, 0.3690
AVG,    0.2203, 0.3131, 0.3391, 0.3587, 0.3664, 0.3690
STD,    0.0015, 0.0009, 0.0008, 0.0009, 0.0008, 0.0008
======Alpha[5.0] Divergence MQ2007 [10] runs======

Try,    NDCG@1, NDCG@3, NDCG@5, NDCG@10,NDCG@20,NDCG@50,
1,      0.4408, 0.4488, 0.4533, 0.4827, 0.5544, 0.6751
2,      0.4439, 0.4492, 0.4553, 0.4836, 0.5551, 0.6761
3,      0.4338, 0.4453, 0.4513, 0.4832, 0.5543, 0.6747
4,      0.4427, 0.4487, 0.4539, 0.4857, 0.5554, 0.6759
5,      0.4414, 0.4470, 0.4539, 0.4856, 0.5571, 0.6770
6,      0.4276, 0.4442, 0.4505, 0.4837, 0.5539, 0.6742
7,      0.4389, 0.4464, 0.4515, 0.4856, 0.5560, 0.6762
8,      0.4392, 0.4462, 0.4541, 0.4829, 0.5538, 0.6749
9,      0.4430, 0.4497, 0.4567, 0.4848, 0.5547, 0.6760
10,     0.4364, 0.4490, 0.4526, 0.4847, 0.5541, 0.6750
AVG,    0.4388, 0.4474, 0.4533, 0.4843, 0.5549, 0.6755
STD,    0.0047, 0.0018, 0.0018, 0.0011, 0.0010, 0.0008

Try,    ERR@1,  ERR@3,  ERR@5,  ERR@10, ERR@20, ERR@50
1,      0.2029, 0.2973, 0.3227, 0.3424, 0.3509, 0.3537
2,      0.2018, 0.2961, 0.3219, 0.3415, 0.3497, 0.3525
3,      0.1967, 0.2917, 0.3173, 0.3374, 0.3457, 0.3485
4,      0.2016, 0.2949, 0.3208, 0.3408, 0.3490, 0.3518
5,      0.2020, 0.2945, 0.3201, 0.3405, 0.3488, 0.3516
6,      0.1943, 0.2908, 0.3165, 0.3368, 0.3449, 0.3478
7,      0.2005, 0.2940, 0.3192, 0.3400, 0.3483, 0.3511
8,      0.2017, 0.2942, 0.3209, 0.3404, 0.3487, 0.3515
9,      0.2015, 0.2962, 0.3219, 0.3414, 0.3498, 0.3526
10,     0.1989, 0.2943, 0.3196, 0.3395, 0.3479, 0.3507
AVG,    0.2002, 0.2944, 0.3201, 0.3401, 0.3484, 0.3512
STD,    0.0026, 0.0019, 0.0019, 0.0017, 0.0017, 0.0017

----------------------------------------------------------
NDCG: 
  ListNet - 0.4663, 0.4698, 0.4804, 0.5115, 0.5829, 0.6946
  Alpha1.5- 0.4754, 0.4709, 0.4803, 0.5137, 0.5835, 0.6945
  KLDiver - 0.4717, 0.4712, 0.4810, 0.5131, 0.5835, 0.6946
  STD     - 0.0031, 0.0023, 0.0012, 0.0011, 0.0011, 0.0008
ERR:
  ListNet - 0.2185, 0.3115, 0.3387, 0.3578, 0.3656, 0.3681
  Alpha1.5- 0.2233, 0.3144, 0.3409, 0.3603, 0.3680, 0.3706
  KLDiver - 0.2218, 0.3133, 0.3404, 0.3596, 0.3673, 0.3698
  STD     - 0.0018, 0.0017, 0.0013, 0.0012, 0.0013, 0.0013

